tag,message_responses
how are you,как дела,нормально,хорошо,ладно,отлично
hello,привет,что нового,приветствую,здравствуй
hey,привет,что нового,приветствую,здравствуй
hi,что нового,приветствую,здравствуй,привет
bye,увидимся,до свидания,пока,прощай
what's your name,я бот,зови меня бот,меня зовут бот
how can you help,я могу проводить тестирование,предоставлять информацию,помогать с командами
thank you,пожалуйста,рад был помочь,с удовольствием помогаю
good morning,доброе утро,хорошего дня,привет,здравствуй
good afternoon,добрый день,послеобеденное время,привет,здравствуй
good evening,добрый вечер,вечер,привет,здравствуй
как дела,нормально,хорошо,неплохо,отлично
привет,привет,что нового,приветствия,здравствуй
эй,привет,что нового,приветствия,здравствуй
приветствие,что нового,приветствия,здравствуй,привет
пока,увидимся,до свидания,прощай,пока-пока
как тебя зовут,я бот,зови меня бот,меня зовут бот
как ты можешь помочь,я могу проводить тестирование,предоставлять информацию,помогать с командами
спасибо,пожалуйста,рад был помочь,с удовольствием помогаю
доброе утро,доброе утро,хорошего дня,привет,здравствуй
добрый день,добрый день,добрый день,привет,здравствуй
добрый вечер,добрый вечер,вечер,привет,здравствуй
помощь,в приватном чате есть комманды
